index,symbol,cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77
46,ENPP1,1,2.62069478023,0.119925526034,-0.202486485255,-0.419858489517,-0.408723733852,-0.455988947986,-0.446666616563,-0.414896321701,-0.391999711392
47,ENSA,1,2.51136103862,0.0307094398502,0.212448545764,-0.539710489251,-0.199496858257,-0.907965026915,-0.532726962966,-0.433271261776,-0.141348425073
48,EPHA1,1,2.66655609722,-0.315557426982,-0.321375759876,-0.334931991062,-0.335583785478,-0.335299064278,-0.339646050386,-0.341908336967,-0.34225368219
49,EPRS,1,2.43034310133,0.0429010245613,-0.457332794417,-0.345792177805,-0.660281448943,0.625202983814,-0.392517682931,-0.6920223425,-0.550500663113
50,ESAM,1,2.46146794378,0.350723648509,0.128732281372,-0.090937144014,-0.500794470618,-0.266222280843,-0.564432132002,-0.752366449401,-0.766171396783
51,ESRRA,1,2.40634002362,0.0701998797295,0.0675312160554,-0.148275229322,-0.753644890414,0.212002984033,-0.93826061362,-0.0936909637224,-0.822202406356
52,EXOSC4,1,2.55519519893,-0.560959704582,-0.765827884757,-0.264921400424,-0.612065390319,-0.273184725705,-0.109086176127,0.153259024392,-0.122408941412
53,FADS2,1,1.34678176491,-0.475009568091,-0.513244120964,-0.480186952912,0.369015983116,1.89818392491,-0.429561684484,-1.04567950022,-0.670299846273
54,FAM3B,1,2.5144504976,-0.850256455598,-0.675771591517,0.323423884852,-0.256120974684,-0.0870780135972,-0.382885802294,-0.261321017487,-0.324440527274
55,FBP1,1,2.33938813164,-1.22717973261,-0.743725509772,0.236013746942,-0.490589172511,0.0437362944626,-0.262628163673,0.270881689788,-0.165897284267
56,FCF1,1,2.36579401065,0.802714449363,-0.184411358728,-0.16154759206,-0.494641105254,-0.402539389149,-0.51515470418,-0.831832616851,-0.57838169379
57,FGF19,1,2.65365060821,-0.197614250327,-0.44844030716,-0.425048790222,-0.341894553398,-0.205371089326,-0.243319578302,-0.448165075384,-0.343796964088
58,FGF2,1,2.60056410008,0.122389851724,-0.226591366104,-0.610109879446,-0.487671696487,-0.558253937717,-0.375419817751,-0.236249266595,-0.228657987701
59,FGF4,1,2.56500065913,0.0167335405624,0.204487880158,-0.33000403396,-0.386574325517,-0.395856268412,-0.628376466547,-0.628376466547,-0.417034518864
60,FLNA,1,2.60260014367,-0.322156407915,-0.444257368852,-0.462425469553,-0.520022324176,-0.0550730414077,-0.0248835177666,-0.649608599419,-0.124173414585
61,FOXO1,1,2.42003358408,-0.942603128238,-0.602832701617,-0.601047710231,-0.407078377117,-0.384645338428,-0.116693206617,0.290405157708,0.344461720461
62,GAL,1,2.66662794812,-0.338524296698,-0.328756990964,-0.322321193246,-0.337520163503,-0.335436164652,-0.339452454928,-0.333218622181,-0.33139806195
63,GC,1,2.58839925394,-0.719889901721,-0.356523424968,-0.605688839128,-0.111884151975,0.0378868029754,-0.371692910116,-0.352351542309,-0.1082552867
