index,symbol,cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77
60,CIT,2,0.0431797237825,1.21205945106,1.81703600634,0.321858137649,-0.106761550556,-0.478805959732,-0.52601739325,-1.16841994029,-1.11412847501
61,CKAP2,2,0.322049408684,1.35858669748,1.8134679611,-0.0256717800787,-0.374920684932,-0.639718289181,-0.449513636002,-1.02170060495,-0.982579072123
62,DAG1,2,1.9050799853,1.47619257912,0.0478541873743,-0.624433669033,-0.55551258936,-0.209675742545,-0.704258104908,-0.839871477767,-0.49537516818
63,DLG3,2,1.36564276526,1.18754723995,1.01294164809,0.291901020628,-0.125432826727,-1.0766536244,-1.10165985603,-0.869394167144,-0.684892199626
64,DPM1,2,2.25876185175,0.558107060979,0.461790747783,-0.117275043405,-0.448012283351,-0.284675797722,-0.873881489855,-0.54788825705,-1.00692678913
65,EIF2S3,2,1.74843175304,0.957581873391,0.102563217702,-0.401504548079,0.390223720472,0.408448818305,-0.808815372609,-1.26317765623,-1.13375180599
66,EIF4A3,2,2.22460054961,-0.00611206710677,0.907100861943,-0.216833192312,-0.398940009704,-0.0823580689765,-0.727432967328,-0.706609197551,-0.993415908572
67,EMX1,2,1.8454778042,1.66254714506,-0.484675513163,-0.579895258159,-0.540294805243,-0.524381419406,-0.595833301438,-0.515058256637,-0.267886395212
68,ERCC8,2,1.15207897292,1.73107490368,0.738294159378,-0.0292225296139,-0.226632208546,-0.52930708708,-0.666476711023,-1.07066560083,-1.09914389889
69,ESCO2,2,1.6744430299,0.563320140358,1.50105475624,-0.315385486343,-0.306833125916,-0.83198268457,-0.769029538516,-0.754100870213,-0.761486220947
70,H2AFX,2,1.13448033626,0.474188392096,1.56773327149,0.562730745009,-0.0985181188632,-0.706058454918,-0.700649022869,-0.785787267423,-1.44811988079
71,HNRNPU,2,1.91491090805,1.26566681895,0.464379591315,-0.575963562091,-0.273630457901,-1.00347927592,-0.636756679532,-0.45640603614,-0.698721306739
72,IGSF1,2,0.274498233359,2.16435519373,-0.241554933755,0.780149191343,0.180277997268,-0.647492126774,-0.739964972956,-0.94436253665,-0.825906045569
73,ITSN1,2,1.26863773832,1.28025218807,1.05639033408,-0.138358767371,0.0374772577301,-0.779164729891,-0.312743182951,-1.20164128669,-1.2108495513
74,KCNQ2,2,1.8998383138,1.5196906906,-0.708232463357,-0.587959563623,-0.166038688861,-0.910768061477,-0.345795696667,-0.426880345132,-0.273854185287
75,KIF11,2,1.40200555856,1.00489715852,1.37844000731,-0.0501144063657,-0.398283934628,-0.731787692854,-0.536207770634,-1.03156781196,-1.03738110795
